Weapon Class,Weapon,1h R1 1,1h R1 2,1h R1 3,1h R1 4,1h R1 5,1h R1 6,1h R2 1,1h R2 2,1h Charged R2 1,1h Charged R2 2,1h Running R1,1h Running R2,1h Rolling R1,1h Backstep R1,1h Jumping R1,1h Jumping R2,1h Guard Counter,2h R1 1,2h R1 2,2h R1 3,2h R1 4,2h R1 5,2h R1 6,2h R2 1,2h R2 2,2h Charged R2 1,2h Charged R2 2,2h Running R1,2h Running R2,2h Rolling R1,2h Backstep R1,2h Jumping R1,2h Jumping R2,2h Guard Counter,Offhand R1 1,Offhand R1 2,Offhand R1 3,Offhand R1 4,Offhand R1 5,Offhand R1 6,BS Whiff,Backstab,Riposte,Backstab (Small PvE),Riposte (Small PvE),Riposte (Large PvE),Shieldpoke,1h Charged R2 1 Feint,1h Charged R2 2 Feint,2h Charged R2 1 Feint,2h Charged R2 2 Feint,Paired L1 1,Paired L1 2,Paired L1 3,Paired L1 4,Paired L1 5,Paired L1 6,Paired Running L1,Paired Rolling L1,Paired Backstep L1,Paired Jumping L1,,Mounted R1 1,Mounted R1 2,Mounted R1 3,Mounted R2,Mounted R2 Charging,Mounted Charged R2,Mounted L1 1,Mounted L1 2,Mounted L1 3,Mounted L2,Mounted L2 Charging,Mounted Charged L2
Dagger,Scorpion's Stinger,40.5,63,63,63,63,126,144,144,540,540,40.5,81,40.5,40.5,60.75,360,540,52.65,81.9,81.9,81.9,81.9,163.8,158.4,158.4,594,594,52.65,89.1,52.65,52.65,78.975,396,594,40.5,63,63,63,63,126,40.5,0,0,0,0,0,,,,,,32.4 + 57.6 + 57.6,32.4 + 57.6,32.4 + 57.6,21.6 + 96 + 96,,,32.4 + 57.6,27 + 27,27 + 27,153 + 153,,40.5,40.5,40.5,81,20.25,243,40.5,40.5,40.5,81,20.25,243
Dagger,Cinquedea,40.5,63,63,63,63,126,144,144,540,540,40.5,81,40.5,40.5,60.75,360,540,52.65,81.9,81.9,81.9,81.9,163.8,158.4,158.4,594,594,52.65,89.1,52.65,52.65,78.975,396,594,40.5,63,63,63,63,126,40.5,0,0,0,0,0,,,,,,32.4 + 57.6 + 57.6,32.4 + 57.6,32.4 + 57.6,21.6 + 96 + 96,,,32.4 + 57.6,27 + 27,27 + 27,153 + 153,,40.5,40.5,40.5,81,20.25,243,40.5,40.5,40.5,81,20.25,243
Dagger,Glintstone Kris,40.5,63,63,63,63,126,144,144,540,540,40.5,81,40.5,40.5,60.75,360,540,52.65,81.9,81.9,81.9,81.9,163.8,158.4,158.4,594,594,52.65,89.1,52.65,52.65,78.975,396,594,40.5,63,63,63,63,126,40.5,0,0,0,0,0,,,,,,32.4 + 57.6 + 57.6,32.4 + 57.6,32.4 + 57.6,21.6 + 96 + 96,,,32.4 + 57.6,27 + 27,27 + 27,153 + 153,,40.5,40.5,40.5,81,20.25,243,40.5,40.5,40.5,81,20.25,243
Dagger,Reduvia,40.5,63,63,63,63,126,144,144,540,540,40.5,81,40.5,40.5,60.75,360,540,52.65,81.9,81.9,81.9,81.9,163.8,158.4,158.4,594,594,52.65,89.1,52.65,52.65,78.975,396,594,40.5,63,63,63,63,126,40.5,0,0,0,0,0,,,,,,32.4 + 57.6 + 57.6,32.4 + 57.6,32.4 + 57.6,21.6 + 96 + 96,,,32.4 + 57.6,27 + 27,27 + 27,153 + 153,,40.5,40.5,40.5,81,20.25,243,40.5,40.5,40.5,81,20.25,243
Dagger,Blade of Calling,40.5,63,63,63,63,126,72 + 72,72 + 72,180 + 360,135 + 135 + 270,40.5,81,40.5,40.5,60.75,360,540,52.65,81.9,81.9,81.9,81.9,163.8,79.2 + 79.2,79.2 + 79.2,198 + 396,148.5 + 148.5 + 297,52.65,89.1,52.65,52.65,78.975,396,594,40.5,63,63,63,63,126,40.5,0,0,0,0,0,,,,,,32.4 + 57.6 + 57.6,32.4 + 57.6,32.4 + 57.6,21.6 + 96 + 96,,,32.4 + 57.6,27 + 27,27 + 27,153 + 153,,40.5,40.5,40.5,81,20.25,243,40.5,40.5,40.5,81,20.25,243
Dagger,Black Knife,40.5,63,63,63,63,126,72 + 72,72 + 72,180 + 360,135 + 135 + 270,40.5,81,40.5,40.5,60.75,360,540,52.65,81.9,81.9,81.9,81.9,163.8,79.2 + 79.2,79.2 + 79.2,198 + 396,148.5 + 148.5 + 297,52.65,89.1,52.65,52.65,78.975,396,594,40.5,63,63,63,63,126,40.5,0,0,0,0,0,,,,,,32.4 + 57.6 + 57.6,32.4 + 57.6,32.4 + 57.6,21.6 + 96 + 96,,,32.4 + 57.6,27 + 27,27 + 27,153 + 153,,40.5,40.5,40.5,81,20.25,243,40.5,40.5,40.5,81,20.25,243
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Throwing Blade,Smithscript Dagger,20,20,20,20,20,40,40,40,60,60,20,40,20,20,30,40,60,11 + 11,11 + 11,11 + 11,11 + 11,11 + 11,22 + 22,22 + 22,22 + 22,32 + 32,32 + 32,11 + 11,22 + 22,11 + 11,11 + 11,16.6 + 16.6,22 + 22,32 + 32,20,20,20,20,20,40,0,0,0,0,0,0,,40,40,22 + 22,20 + 20,11 + 11,11 + 11,11 + 11,11 + 11,11 + 11,22 + 22,11 + 11,11 + 11,11 + 11,16.6 + 16.6,,20,20,40,40,,60,20,20,40,40,,60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Straight Sword,Short Sword,110,67.5,67.5,67.5,135,,220,220,825,825,110,220,110,110,165,550,825,143,87.75,87.75,87.75,175.5,,242,242,907.5,907.5,143,242,143,143,214.5,605,907.5,110,67.5,67.5,67.5,135,,110,0,0,0,0,0,,,,,,27.6 + 110.1,72.6 + 72.6,27.6 + 110.1,145.2 + 145.2,,,27.6 + 110.1,72.6 + 72.6,72.6 + 72.6,206.25 + 206.25,,57.5,57.5,115,115,28.75,345,57.5,57.5,115,115,28.75,345
Straight Sword,Longsword,110,67.5,67.5,67.5,135,,220,220,825,825,110,220,110,110,165,550,825,143,87.75,87.75,87.75,175.5,,242,242,907.5,907.5,143,242,143,143,214.5,605,907.5,110,67.5,67.5,67.5,135,,110,0,0,0,0,0,,,,,,27.6 + 110.1,72.6 + 72.6,27.6 + 110.1,145.2 + 145.2,,,27.6 + 110.1,72.6 + 72.6,72.6 + 72.6,206.25 + 206.25,,57.5,57.5,115,115,28.75,345,57.5,57.5,115,115,28.75,345
Straight Sword,Broadsword,110,67.5,67.5,67.5,135,,220,220,825,825,110,220,110,110,165,550,825,143,87.75,87.75,87.75,175.5,,242,242,907.5,907.5,143,242,143,143,214.5,605,907.5,110,67.5,67.5,67.5,135,,110,0,0,0,0,0,,,,,,27.6 + 110.1,72.6 + 72.6,27.6 + 110.1,145.2 + 145.2,,,27.6 + 110.1,72.6 + 72.6,72.6 + 72.6,206.25 + 206.25,,57.5,57.5,115,115,28.75,345,57.5,57.5,115,115,28.75,345
Straight Sword,Weathered Straight Sword,110,67.5,67.5,67.5,135,,220,220,825,825,110,220,110,110,165,550,825,143,87.75,87.75,87.75,175.5,,242,242,907.5,907.5,143,242,143,143,214.5,605,907.5,110,67.5,67.5,67.5,135,,110,0,0,0,0,0,,,,,,27.6 + 110.1,72.6 + 72.6,27.6 + 110.1,145.2 + 145.2,,,27.6 + 110.1,72.6 + 72.6,72.6 + 72.6,206.25 + 206.25,,57.5,57.5,115,115,28.75,345,57.5,57.5,115,115,28.75,345
Straight Sword,Lordsworn's Straight Sword,110,67.5,67.5,67.5,135,,220,220,825,825,110,220,110,110,165,550,825,143,87.75,87.75,87.75,175.5,,242,242,907.5,907.5,143,242,143,143,214.5,605,907.5,110,67.5,67.5,67.5,135,,110,0,0,0,0,0,,,,,,27.6 + 110.1,72.6 + 72.6,27.6 + 110.1,145.2 + 145.2,,,27.6 + 110.1,72.6 + 72.6,72.6 + 72.6,206.25 + 206.25,,57.5,57.5,115,115,28.75,345,57.5,57.5,115,115,28.75,345
Straight Sword,Noble's Slender Sword,110,67.5,67.5,67.5,135,,220,220,825,825,110,220,110,110,165,550,825,143,87.75,87.75,87.75,175.5,,242,242,907.5,907.5,143,242,143,143,214.5,605,907.5,110,67.5,67.5,67.5,135,,110,0,0,0,0,0,,,,,,27.6 + 110.1,72.6 + 72.6,27.6 + 110.1,145.2 + 145.2,,,27.6 + 110.1,72.6 + 72.6,72.6 + 72.6,206.25 + 206.25,,57.5,57.5,115,115,28.75,345,57.5,57.5,115,115,28.75,345
Straight Sword,Cane Sword,110,67.5,67.5,67.5,135,,220,220,825,825,110,220,110,110,165,550,825,143,87.75,87.75,87.75,175.5,,242,242,907.5,907.5,143,242,143,143,214.5,605,907.5,110,67.5,67.5,67.5,135,,110,0,0,0,0,0,,,,,,27.6 + 110.1,72.6 + 72.6,27.6 + 110.1,145.2 + 145.2,,,27.6 + 110.1,72.6 + 72.6,72.6 + 72.6,206.25 + 206.25,,57.5,57.5,115,115,28.75,345,57.5,57.5,115,115,28.75,345
Straight Sword,Stone-Sheathed Sword,110,67.5,67.5,67.5,135,,220,220,825,825,110,220,110,110,165,550,825,143,87.75,87.75,87.75,175.5,,242,242,907.5,907.5,143,242,143,143,214.5,605,907.5,110,67.5,67.5,67.5,135,,110,0,0,0,0,0,,,,,,27.6 + 110.1,72.6 + 72.6,27.6 + 110.1,145.2 + 145.2,,,27.6 + 110.1,72.6 + 72.6,72.6 + 72.6,206.25 + 206.25,,57.5,57.5,115,115,28.75,345,57.5,57.5,115,115,28.75,345
Straight Sword,Warhawk's Talon,110,67.5,67.5,67.5,135,,110 + 110,220,275 + 550,275 + 550,110,220,110,110,165,550,825,143,87.75,87.75,87.75,175.5,,126.5 + 126.5,253,309.375 + 611.875,309.375 + 611.875,143,242,143,143,214.5,605,907.5,110,67.5,67.5,67.5,135,,110,0,0,0,0,0,,,,,,27.6 + 110.1,72.6 + 72.6,27.6 + 110.1,145.2 + 145.2,,,27.6 + 110.1,72.6 + 72.6,72.6 + 72.6,206.25 + 206.25,,57.5,57.5,115,115,28.75,345,57.5,57.5,115,115,28.75,345
Straight Sword,Lazuli Glintstone Sword,110,67.5,67.5,67.5,135,,220,220,412.5,412.5,110,220,110,110,165,550,825,143,87.75,87.75,87.75,175.5,,242,242,481.25,481.25,143,242,143,143,214.5,605,907.5,110,67.5,67.5,67.5,135,,110,0,0,0,0,0,,,,,,27.6 + 110.1,72.6 + 72.6,27.6 + 110.1,145.2 + 145.2,,,27.6 + 110.1,72.6 + 72.6,72.6 + 72.6,206.25 + 206.25,,57.5,57.5,115,115,28.75,345,57.5,57.5,115,115,28.75,345
Straight Sword,Carian Knight's Sword,110,67.5,67.5,67.5,135,,220,220,412.5,412.5,110,220,110,110,165,550,825,143,87.75,87.75,87.75,175.5,,242,242,481.25,481.25,143,242,143,143,214.5,605,907.5,110,67.5,67.5,67.5,135,,110,0,0,0,0,0,,,,,,27.6 + 110.1,72.6 + 72.6,27.6 + 110.1,145.2 + 145.2,,,27.6 + 110.1,72.6 + 72.6,72.6 + 72.6,206.25 + 206.25,,57.5,57.5,115,115,28.75,345,57.5,57.5,115,115,28.75,345
Straight Sword,Crystal Sword,110,67.5,67.5,67.5,135,,220,220,825,825,110,220,110,110,165,550,825,143,87.75,87.75,87.75,175.5,,242,242,907.5,907.5,143,242,143,143,214.5,605,907.5,110,67.5,67.5,67.5,135,,110,0,0,0,0,0,,,,,,27.6 + 110.1,72.6 + 72.6,27.6 + 110.1,145.2 + 145.2,,,27.6 + 110.1,72.6 + 72.6,72.6 + 72.6,206.25 + 206.25,,57.5,57.5,115,115,28.75,345,57.5,57.5,115,115,28.75,345
Straight Sword,Rotten Crystal Sword,110,67.5,67.5,67.5,135,,220,220,825,825,110,220,110,110,165,550,825,143,87.75,87.75,87.75,175.5,,242,242,907.5,907.5,143,242,143,143,214.5,605,907.5,110,67.5,67.5,67.5,135,,110,0,0,0,0,0,,,,,,27.6 + 110.1,72.6 + 72.6,27.6 + 110.1,145.2 + 145.2,,,27.6 + 110.1,72.6 + 72.6,72.6 + 72.6,206.25 + 206.25,,57.5,57.5,115,115,28.75,345,57.5,57.5,115,115,28.75,345
Straight Sword,Miquellan Knight's Sword,110,67.5,67.5,67.5,135,,220,220,825,825,110,220,110,110,165,550,825,143,87.75,87.75,87.75,175.5,,242,242,907.5,907.5,143,242,143,143,214.5,605,907.5,110,67.5,67.5,67.5,135,,110,0,0,0,0,0,,,,,,27.6 + 110.1,72.6 + 72.6,27.6 + 110.1,145.2 + 145.2,,,27.6 + 110.1,72.6 + 72.6,72.6 + 72.6,206.25 + 206.25,,57.5,57.5,115,115,28.75,345,57.5,57.5,115,115,28.75,345
Straight Sword,Ornamental Straight Sword,110,67.5,67.5,67.5,135,,220,220,825,825,110,220,110,110,165,550,825,72.6 + 72.6,72.6 + 72.6,27.6 + 110.1,145.2 + 145.2,175.5,,220,220,825,825,110.1 + 27.6,72.6 + 72.6,72.6 + 72.6,72.6 + 72.6,69 + 275.25 + 183.5,206.25 + 206.25,660,110,67.5,67.5,67.5,135,,110,0,0,0,0,0,,,,,,27.6 + 110.1,72.6 + 72.6,27.6 + 110.1,145.2 + 145.2,,,27.6 + 110.1,72.6 + 72.6,72.6 + 72.6,206.25 + 206.25,,57.5,57.5,115,115,28.75,345,57.5,57.5,115,115,28.75,345
Straight Sword,Golden Epitaph,110,67.5,67.5,67.5,135,,220,220,825,825,110,220,110,110,165,550,825,143,87.75,87.75,87.75,175.5,,242,242,907.5,907.5,143,242,143,143,214.5,605,907.5,110,67.5,67.5,67.5,135,,110,0,0,0,0,0,,,,,,27.6 + 110.1,72.6 + 72.6,27.6 + 110.1,145.2 + 145.2,,,27.6 + 110.1,72.6 + 72.6,72.6 + 72.6,206.25 + 206.25,,57.5,57.5,115,115,28.75,345,57.5,57.5,115,115,28.75,345
Straight Sword,Sword of St. Trina,110,67.5,67.5,67.5,135,,220,220,825,825,110,220,110,110,165,550,825,143,87.75,87.75,87.75,175.5,,242,242,907.5,907.5,143,242,143,143,214.5,605,907.5,110,67.5,67.5,67.5,135,,110,0,0,0,0,0,,,,,,27.6 + 110.1,72.6 + 72.6,27.6 + 110.1,145.2 + 145.2,,,27.6 + 110.1,72.6 + 72.6,72.6 + 72.6,206.25 + 206.25,,57.5,57.5,115,115,28.75,345,57.5,57.5,115,115,28.75,345
Straight Sword,Velvet Sword of St. Trina,110,67.5,67.5,67.5,135,,220,220,825,825,110,220,110,110,165,550,825,143,87.75,87.75,87.75,175.5,,242,242,907.5,907.5,143,242,143,143,214.5,605,907.5,110,67.5,67.5,67.5,135,,110,0,0,0,0,0,,,,,,27.6 + 110.1,72.6 + 72.6,27.6 + 110.1,145.2 + 145.2,,,27.6 + 110.1,72.6 + 72.6,72.6 + 72.6,206.25 + 206.25,,57.5,57.5,115,115,28.75,345,57.5,57.5,115,115,28.75,345
Straight Sword,Regalia of Eochaid,110,67.5,67.5,67.5,135,,220,220,825,825,110,220,110,110,165,550,825,143,87.75,87.75,87.75,175.5,,242,242,907.5,907.5,143,242,143,143,214.5,605,907.5,110,67.5,67.5,67.5,135,,110,0,0,0,0,0,,,,,,27.6 + 110.1,72.6 + 72.6,27.6 + 110.1,145.2 + 145.2,,,27.6 + 110.1,72.6 + 72.6,72.6 + 72.6,206.25 + 206.25,,57.5,57.5,115,115,28.75,345,57.5,57.5,115,115,28.75,345
Straight Sword,Coded Sword,110,67.5,67.5,67.5,135,,220,220,825,825,110,220,110,110,165,550,825,143,87.75,87.75,87.75,175.5,,242,242,907.5,907.5,143,242,143,143,214.5,605,907.5,110,67.5,67.5,67.5,135,,110,0,0,0,0,0,,,,,,27.6 + 110.1,72.6 + 72.6,27.6 + 110.1,145.2 + 145.2,,,27.6 + 110.1,72.6 + 72.6,72.6 + 72.6,206.25 + 206.25,,57.5,57.5,115,115,28.75,345,57.5,57.5,115,115,28.75,345
Straight Sword,Sword of Night and Flame,110,67.5,67.5,67.5,135,,220,220,825,825,110,220,110,110,165,550,825,143,87.75,87.75,87.75,175.5,,242,242,907.5,907.5,143,242,143,143,214.5,605,907.5,110,67.5,67.5,67.5,135,,110,0,0,0,0,0,,,,,,27.6 + 110.1,72.6 + 72.6,27.6 + 110.1,145.2 + 145.2,,,27.6 + 110.1,72.6 + 72.6,72.6 + 72.6,206.25 + 206.25,,57.5,57.5,115,115,28.75,345,57.5,57.5,115,115,28.75,345
Straight Sword,Sword of Light,110,67.5,67.5,67.5,135,,220,220,825,825,110,220,110,110,165,550,825,143,87.75,87.75,87.75,175.5,,242,242,907.5,907.5,143,242,143,143,214.5,605,907.5,110,67.5,67.5,67.5,135,,110,0,0,0,0,0,,,,,,27.6 + 110.1,72.6 + 72.6,27.6 + 110.1,145.2 + 145.2,,,27.6 + 110.1,72.6 + 72.6,72.6 + 72.6,206.25 + 206.25,,57.5,57.5,115,115,28.75,345,57.5,57.5,115,115,28.75,345
Straight Sword,Sword of Darkness,110,67.5,67.5,67.5,135,,220,220,825,825,110,220,110,110,165,550,825,143,87.75,87.75,87.75,175.5,,242,242,907.5,907.5,143,242,143,143,214.5,605,907.5,110,67.5,67.5,67.5,135,,110,0,0,0,0,0,,,,,,27.6 + 110.1,72.6 + 72.6,27.6 + 110.1,145.2 + 145.2,,,27.6 + 110.1,72.6 + 72.6,72.6 + 72.6,206.25 + 206.25,,57.5,57.5,115,115,28.75,345,57.5,57.5,115,115,28.75,345
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light Greatsword,Milady,121,74.25,74.25,74.25,74.25 + 74.25,,121 + 121,121 + 121,453.75 + 453.75,453.75 + 453.75,121,121 + 121,121,121,181.5,302.5 + 302.5,453.75 + 453.75,157.3,96.525,96.525,96.525,96.525 + 96.525,,133.1 + 133.1,133.1 + 133.1,499.125 + 499.125,499.125 + 499.125,157.3,133.1 + 133.1,157.3,157.3,235.95,332.75 + 332.75,499.125 + 499.125,121,74.25,74.25,74.25,74.25 + 74.25,,0,0,0,0,0,0,,,,,,30.36 + 121.11,79.86 + 79.86,20.24 + 80.74 + 80.74,79.86 + 79.86 + 79.86 + 79.86,,,30.36 + 121.11,30.36 + 121.11,33 + 79.86,151.25 + 151.25 + 151.25,,63.25,63.25,126.5,126.5,,379.5,63.25,63.25,126.5,126.5,,379.5
Light Greatsword,Leda's Sword,121,74.25,74.25,74.25,74.25 + 74.25,,121 + 121,121 + 121,453.75 + 453.75,453.75 + 453.75,121,121 + 121,121,121,181.5,302.5 + 302.5,453.75 + 453.75,157.3,96.525,96.525,96.525,96.525 + 96.525,,133.1 + 133.1,133.1 + 133.1,499.125 + 499.125,499.125 + 499.125,157.3,133.1 + 133.1,157.3,157.3,235.95,332.75 + 332.75,499.125 + 499.125,121,74.25,74.25,74.25,74.25 + 74.25,,0,0,0,0,0,0,,,,,,30.36 + 121.11,79.86 + 79.86,20.24 + 80.74 + 80.74,79.86 + 79.86 + 79.86 + 79.86,,,30.36 + 121.11,30.36 + 121.11,33 + 79.86,151.25 + 151.25 + 151.25,,63.25,63.25,126.5,126.5,,379.5,63.25,63.25,126.5,126.5,,379.5
